date,ICLN,TAN,PBW,XLE,XOP,KRBN,SPY
2010-01-04,16.077163696289062,78.31554412841797,40.851261138916016,17.144624710083008,132.96937561035156,,84.57850646972656
2010-01-05,16.50748062133789,81.64340209960938,41.31917190551758,17.2845516204834,134.0790252685547,,84.80236053466797
2010-01-06,16.648576736450195,81.56945037841797,41.93104553222656,17.49154281616211,135.58929443359375,,84.86209106445312
2010-01-07,16.68384552001953,81.939208984375,41.823062896728516,17.465303421020508,134.7879180908203,,85.22029113769531
2010-01-08,16.831993103027344,83.41826629638672,42.32697296142578,17.578996658325195,135.8358917236328,,85.5038833618164
2010-01-11,16.93781280517578,83.56615447998047,42.36294174194336,17.555679321289062,134.3256072998047,,85.62330627441406
2010-01-12,16.429887771606445,80.68201446533203,41.31917190551758,17.302053451538086,131.1508331298828,,84.82475280761719
2010-01-13,16.542753219604492,80.90388488769531,41.10322952270508,17.366180419921875,132.4762725830078,,85.54120635986328
2010-01-14,16.098329544067383,78.01971435546875,40.20341491699219,17.415748596191406,133.70913696289062,,85.77256774902344
2010-01-15,15.675057411193848,74.39606475830078,39.23161697387695,17.275814056396484,132.5377960205078,,84.80982971191406
2010-01-19,15.576292037963867,74.32210540771484,39.41157913208008,17.4332332611084,133.52410888671875,,85.86959075927734
2010-01-20,14.9555025100708,71.36402130126953,38.83570098876953,17.1621150970459,132.2604522705078,,84.99636840820312
2010-01-21,14.652159690856934,69.44125366210938,37.611968994140625,16.812284469604492,130.38023376464844,,83.36203002929688
2010-01-22,14.10896110534668,65.66968536376953,35.9923095703125,16.412891387939453,127.63703155517578,,81.50373077392578
2010-01-25,14.28532600402832,67.59246063232422,36.49620819091797,16.520763397216797,128.77749633789062,,81.921630859375
2010-01-26,14.28532600402832,67.81431579589844,36.31624221801758,16.415809631347656,126.89729309082031,,81.5783462524414
2010-01-27,14.024307250976562,66.8529281616211,36.10028839111328,16.351675033569336,125.91098022460938,,81.96639251708984
2010-01-28,13.904382705688477,65.96549987792969,35.12849426269531,16.17967414855957,124.6472396850586,,81.02611541748047
2010-01-29,13.572820663452148,64.85620880126953,34.40864944458008,15.888137817382812,121.6265640258789,,80.14543914794922
2010-02-01,14.017251968383789,66.63106536865234,35.344444274902344,16.412891387939453,126.83562469482422,,81.39179229736328
2010-02-02,14.10896110534668,67.6664047241211,35.63237380981445,16.628623962402344,129.33224487304688,,82.37689208984375
2010-02-03,14.10896110534668,67.74034881591797,35.596397399902344,16.48577880859375,127.20550537109375,,81.96639251708984
2010-02-04,13.269476890563965,63.377166748046875,33.32888412475586,15.809436798095703,121.53411865234375,,79.43647766113281
2010-02-05,13.318861961364746,63.45112228393555,33.472843170166016,15.812352180480957,121.68820190429688,,79.60064697265625
2010-02-08,12.994355201721191,60.936729431152344,32.93295669555664,15.666590690612793,120.8868408203125,,79.02595520019531
2010-02-09,13.375299453735352,62.489742279052734,33.25689697265625,15.996009826660156,123.38351440429688,,80.0185775756836
2010-02-10,13.071953773498535,60.86279296875,33.616817474365234,15.928956031799316,123.0752944946289,,79.86185455322266
2010-02-11,13.213043212890625,62.63764953613281,34.3726692199707,16.20008087158203,125.29448699951172,,80.69770050048828
2010-02-12,13.177769660949707,61.602317810058594,34.5526123046875,16.205915451049805,125.75685119628906,,80.63052368164062
2010-02-16,13.6433687210083,64.5604019165039,35.20048141479492,16.587812423706055,129.60971069335938,,81.89925384521484
2010-02-17,13.495220184326172,63.746917724609375,35.2724723815918,16.564485549926758,129.02407836914062,,82.28734588623047
2010-02-18,13.53754997253418,63.894840240478516,35.38044357299805,16.657779693603516,129.64053344726562,,82.77242279052734
2010-02-19,13.269476890563965,61.824153900146484,34.912532806396484,16.721912384033203,130.3494415283203,,82.9440689086914
2010-02-22,13.142499923706055,61.010684967041016,34.84054946899414,16.491607666015625,127.57537078857422,,82.9590072631836
2010-02-23,12.740392684936523,58.86607360839844,34.0487174987793,16.21757698059082,124.43148803710938,,81.95148468017578
2010-02-24,12.634575843811035,57.90469741821289,33.79679870605469,16.31960678100586,125.66436767578125,,82.70525360107422
2010-02-25,12.578142166137695,57.534934997558594,34.15670394897461,16.32835578918457,125.91098022460938,,82.59333801269531
2010-02-26,12.613409996032715,57.387027740478516,33.76079177856445,16.36625099182129,126.46575164794922,,82.64553833007812
2010-03-01,12.676901817321777,57.09121322631836,34.336666107177734,16.517852783203125,128.31507873535156,,83.50381469726562
2010-03-02,12.719232559204102,57.75679016113281,34.58860778808594,16.654865264892578,129.42478942871094,,83.73515319824219
2010-03-03,13.064899444580078,59.82745361328125,34.876548767089844,16.727745056152344,130.4418487548828,,83.8097915649414
2010-03-04,13.12839126586914,60.27117156982422,34.76856994628906,16.640289306640625,129.3631134033203,,84.06352996826172
2010-03-05,13.311807632446289,61.52834701538086,35.30846405029297,16.952213287353516,131.8905792236328,,85.26509094238281
2010-03-08,13.149550437927246,61.15859603881836,35.23646926879883,16.925981521606445,131.27410888671875,,85.27998352050781
2010-03-09,13.050792694091797,60.34512710571289,35.344444274902344,16.925981521606445,132.0138702392578,,85.42180633544922
2010-03-10,13.227151870727539,62.11996841430664,35.63237380981445,17.074657440185547,134.14060974121094,,85.80242156982422
2010-03-11,13.361189842224121,62.26789093017578,36.10028839111328,17.04550552368164,134.3564453125,,86.16065216064453
2010-03-12,13.39646053314209,63.08137130737305,36.20826721191406,17.05425453186035,134.66456604003906,,86.16812133789062
2010-03-15,13.213043212890625,61.75020980834961,35.77634811401367,16.87934112548828,133.15428161621094,,86.19049835205078
2010-03-16,13.255373001098633,62.11996841430664,35.92033386230469,17.030929565429688,134.14060974121094,,86.8770980834961
2010-03-17,13.424677848815918,62.34184265136719,36.13628005981445,17.217510223388672,134.66456604003906,,87.39202880859375
2010-03-18,13.16366195678711,60.86279296875,35.668373107910156,16.96095848083496,130.84266662597656,,87.34729766845703
2010-03-19,12.902649879455566,59.90141296386719,34.76856994628906,16.75705909729004,129.13705444335938,,86.90509796142578
2010-03-22,12.839157104492188,59.531639099121094,35.12849426269531,16.713178634643555,128.4584503173828,,87.3697280883789
2010-03-23,13.008464813232422,60.566978454589844,35.596397399902344,16.777536392211914,130.43238830566406,,87.98424530029297
2010-03-24,12.95202922821045,60.27117156982422,35.48841857910156,16.680999755859375,130.21646118164062,,87.5571060180664
2010-03-25,12.909698486328125,60.27117156982422,35.056514739990234,16.40015411376953,126.36119842529297,,87.41472625732422
2010-03-26,13.100171089172363,62.11996841430664,35.48841857910156,16.40599822998047,125.43594360351562,,87.36225128173828
2010-03-29,13.325910568237305,63.2292594909668,35.84832763671875,16.72488021850586,128.76693725585938,,87.91678619384766
2010-03-30,13.290642738342285,63.377166748046875,36.24425506591797,16.751203536987305,128.92112731933594,,87.97673034667969
2010-03-31,13.290642738342285,63.30321502685547,35.84832763671875,16.8272647857666,129.93893432617188,,87.6769790649414
2010-04-01,13.410571098327637,63.45112228393555,35.9923095703125,17.125669479370117,133.6400146484375,,88.2765121459961
2010-04-05,13.474059104919434,63.45112228393555,36.17227554321289,17.429914474487305,136.6317138671875,,88.99589538574219
2010-04-06,13.459954261779785,63.15531539916992,36.10028839111328,17.429914474487305,136.26158142089844,,89.20571899414062
2010-04-07,13.69980239868164,64.85620880126953,36.42422103881836,17.257312774658203,135.02792358398438,,88.6961441040039
2010-04-08,13.685691833496094,64.85620880126953,36.53218460083008,17.318744659423828,135.02792358398438,,89.00337982177734
2010-04-09,13.657474517822266,63.96878433227539,36.28024673461914,17.5030517578125,137.4027099609375,,89.58789825439453
2010-04-12,13.784452438354492,64.70831298828125,36.38823318481445,17.54400634765625,137.0018310546875,,89.73025512695312
2010-04-13,13.883222579956055,65.15203094482422,36.53218460083008,17.48257064819336,136.60089111328125,,89.7977066040039
2010-04-14,14.052526473999023,66.26129913330078,36.89213180541992,17.649324417114258,137.83460998535156,,90.81685638427734
2010-04-15,14.158341407775879,67.37059783935547,37.57597732543945,17.64639663696289,137.83460998535156,,90.89180755615234
2010-04-16,13.763291358947754,63.82087326049805,36.784156799316406,17.34800910949707,134.81199645996094,,89.44551849365234
2010-04-19,13.48111343383789,62.71160125732422,36.42422103881836,17.37140655517578,133.91763305664062,,89.78272247314453
2010-04-20,13.636311531066895,64.4864501953125,37.10807418823242,17.710758209228516,136.72422790527344,,90.58454895019531
2010-04-21,13.424677848815918,63.2292594909668,36.96410369873047,17.693204879760742,136.23074340820312,,90.41969299316406
2010-04-22,13.424677848815918,63.377166748046875,37.28803253173828,17.737098693847656,137.3719024658203,,90.68948364257812
2010-04-23,13.551656723022461,64.1906509399414,37.647945404052734,18.16420555114746,141.35061645507812,,91.281494140625
2010-04-26,13.39646053314209,63.894840240478516,37.39601135253906,18.10276985168457,140.79542541503906,,90.93675231933594
2010-04-27,12.930864334106445,61.30650329589844,36.28024673461914,17.546937942504883,136.13821411132812,,88.78607940673828
2010-04-28,12.817991256713867,60.71487045288086,36.28024673461914,17.725383758544922,137.156005859375,,89.46052551269531
2010-04-29,13.325910568237305,64.1906509399414,37.21604919433594,17.74586296081543,137.9578857421875,,90.5696029663086
2010-04-30,12.980244636535645,62.41577911376953,36.38823318481445,17.52645492553711,137.80369567871094,,89.03337097167969
2010-05-03,13.269476890563965,63.15531539916992,37.10807418823242,17.725383758544922,140.73379516601562,,90.1873779296875
2010-05-04,12.620469093322754,59.45770263671875,35.344444274902344,17.251461029052734,137.03265380859375,,88.06666564941406
2010-05-05,12.105490684509277,57.387027740478516,34.51662826538086,16.979389190673828,134.04098510742188,,87.54208374023438
2010-05-06,11.618730545043945,53.68940734863281,32.75300216674805,16.40015411376953,129.35293579101562,,84.63452911376953
2010-05-07,11.329496383666992,52.6540641784668,31.92518424987793,16.087125778198242,124.97335815429688,,83.37557220458984
2010-05-10,12.14781665802002,57.01727294921875,34.08472442626953,16.77461051940918,131.4810333251953,,87.04755401611328
2010-05-11,11.8585844039917,55.09450912475586,34.12070846557617,16.663440704345703,130.58665466308594,,86.80022430419922
2010-05-12,11.964401245117188,55.98192596435547,34.912532806396484,16.89455223083496,134.59608459472656,,88.01419067382812
2010-05-13,11.710440635681152,55.02054977416992,34.732582092285156,16.786312103271484,133.9484100341797,,86.92013549804688
2010-05-14,11.414153099060059,53.17173767089844,33.76079177856445,16.452804565429688,131.08004760742188,,85.34642791748047
2010-05-17,11.110808372497559,51.47084045410156,33.4008674621582,16.283132553100586,128.39678955078125,,85.39136505126953
2010-05-18,10.828625679016113,49.84389114379883,32.39308547973633,16.157331466674805,127.74906158447266,,84.22986602783203
2010-05-19,10.807465553283691,49.326210021972656,31.853185653686523,15.973030090332031,126.02192687988281,,83.75027465820312
2010-05-20,10.53233814239502,47.773223876953125,30.41349983215332,15.259228706359863,119.3599853515625,,80.58790588378906
2010-05-21,10.6804838180542,49.40018081665039,31.09735679626465,15.525442123413086,121.76567077636719,,81.76441955566406
2010-05-24,10.426525115966797,47.55136489868164,30.341524124145508,15.171462059020996,118.95899963378906,,80.71527099609375
2010-05-25,10.327760696411133,46.81183624267578,29.873632431030273,15.206568717956543,119.45254516601562,,80.7977066040039
2010-05-26,10.200780868530273,47.18159866333008,30.341524124145508,15.174385070800781,120.40861511230469,,80.31063842773438
2010-05-27,10.786301612854004,50.805267333984375,32.14113235473633,15.817988395690918,126.82382202148438,,83.00089263916016
2010-05-28,10.729863166809082,49.252262115478516,31.529258728027344,15.519585609436035,126.36119842529297,,81.95926666259766
2010-06-01,10.363031387329102,47.40346145629883,30.701452255249023,14.782368659973145,121.61149597167969,,80.58037567138672
2010-06-02,10.55350399017334,48.73460006713867,31.529258728027344,15.423057556152344,128.5202178955078,,82.67867279052734
2010-06-03,10.6804838180542,49.1043586730957,32.03315353393555,15.630746841430664,131.85116577148438,,82.96341705322266
2010-06-04,10.27132511138916,47.4774055480957,30.41349983215332,15.080772399902344,126.05281829833984,,80.04835510253906
2010-06-07,10.045581817626953,45.11094284057617,29.441709518432617,14.94912338256836,124.72652435302734,,79.05167388916016
2010-06-08,10.038525581359863,45.33279800415039,29.26175308227539,15.197783470153809,126.1144790649414,,79.89847564697266
2010-06-09,9.98209285736084,45.25883865356445,29.117788314819336,15.039810180664062,125.25091552734375,,79.4713134765625
2010-06-10,10.574666976928711,48.882503509521484,30.44948959350586,15.79457950592041,131.5427703857422,,81.79437255859375
2010-06-11,10.793356895446777,50.28759765625,30.917387008666992,15.891117095947266,132.6222686767578,,82.19153594970703
2010-06-14,10.85684585571289,50.435508728027344,31.20534324645996,15.809207916259766,132.4370880126953,,82.06417083740234
2010-06-15,11.371822357177734,53.31965637207031,32.68102264404297,16.27143096923828,136.1690673828125,,83.9300765991211
2010-06-16,11.29422664642334,52.949886322021484,32.573055267333984,16.259729385375977,136.41586303710938,,83.90010833740234
2010-06-17,11.329496383666992,53.615455627441406,32.573055267333984,16.242177963256836,135.3363037109375,,84.03502655029297
2010-06-18,11.414153099060059,53.98521041870117,32.86098098754883,16.342683792114258,135.84591674804688,,84.12612915039062
2010-06-21,11.45261001586914,53.76336669921875,32.32109069824219,16.307418823242188,134.36358642578125,,83.88520050048828
2010-06-22,11.15347671508789,52.432212829589844,31.673229217529297,15.831332206726074,129.4225616455078,,82.49976348876953
2010-06-23,11.288799285888672,52.50617599487305,31.81719970703125,15.71084213256836,129.0520477294922,,82.24378967285156
2010-06-24,10.961174964904785,50.28759765625,30.917387008666992,15.381695747375488,126.5815658569336,,80.88091278076172
2010-06-25,11.117864608764648,51.24897766113281,31.421289443969727,15.425774574279785,128.280029296875,,81.21977233886719
2010-06-28,10.95405387878418,50.50945281982422,31.34929656982422,15.217120170593262,126.36538696289062,,80.9637451171875
2010-06-29,10.434127807617188,48.14297866821289,29.909603118896484,14.714584350585938,121.1773452758789,,78.46401977539062
2010-06-30,10.398515701293945,47.69926452636719,29.72964096069336,14.59997272491455,120.40534210205078,,77.71861267089844
2010-07-01,10.605061531066895,49.1043586730957,29.909603118896484,14.547076225280762,118.95393371582031,,77.37222290039062
2010-07-02,10.790238380432129,49.84389114379883,30.017589569091797,14.511808395385742,117.96572875976562,,76.95062255859375
2010-07-06,10.932683944702148,50.953163146972656,30.197551727294922,14.652871131896973,117.99665069580078,,77.45508575439453
2010-07-07,11.45261001586914,54.20707702636719,31.24132537841797,15.170101165771484,122.81401824951172,,79.89461517333984
2010-07-08,11.516714096069336,55.98192596435547,31.78121566772461,15.384634017944336,124.8521728515625,,80.68521118164062
2010-07-09,11.72325611114502,56.94330978393555,32.465057373046875,15.463982582092285,124.97573852539062,,81.28753662109375
2010-07-12,11.495344161987305,55.46426773071289,31.74522590637207,15.422842979431152,124.23453521728516,,81.34026336669922
2010-07-13,11.609298706054688,56.35169982910156,32.39308547973633,15.607978820800781,126.0875015258789,,82.56755828857422
2010-07-14,11.6520357131958,56.64750289916992,32.573055267333984,15.590348243713379,125.59336853027344,,82.56001281738281
2010-07-15,11.758866310119629,57.23912048339844,32.35708999633789,15.572717666625977,125.59336853027344,,82.58258819580078
2010-07-16,11.48822021484375,55.90797424316406,31.385292053222656,15.202420234680176,121.30088806152344,,80.30873107910156
2010-07-19,11.595056533813477,57.01727294921875,31.709224700927734,15.299410820007324,121.1773452758789,,80.78307342529297
2010-07-20,11.830095291137695,57.387027740478516,32.213111877441406,15.649125099182129,124.35810852050781,,81.67908477783203
2010-07-21,11.644912719726562,56.869346618652344,31.853185653686523,15.393450736999512,122.90670776367188,,80.6174087524414
2010-07-22,12.029515266418457,59.161895751953125,32.96894836425781,15.734345436096191,125.3462905883789,,82.41696166992188
2010-07-23,12.179081916809082,59.82745361328125,33.724796295166016,15.804882049560547,126.0875015258789,,83.13224029541016
2010-07-26,12.271671295166016,60.566978454589844,34.58860778808594,15.943009376525879,128.24908447265625,,83.9981460571289
2010-07-27,12.107858657836914,59.08791732788086,33.79679870605469,15.866599082946777,126.0257339477539,,83.99057006835938
2010-07-28,12.008149147033691,58.64421463012695,33.3648796081543,15.831332206726074,124.66694641113281,,83.448486328125
2010-07-29,11.922680854797363,58.27445602416992,33.25689697265625,15.85484504699707,125.80953216552734,,83.04191589355469
2010-07-30,11.573691368103027,56.35169982910156,32.96894836425781,15.822518348693848,125.3154067993164,,83.02682495117188
2010-08-02,11.88707160949707,58.12653732299805,33.3648796081543,16.37500762939453,128.9902801513672,,84.90167236328125
2010-08-03,11.88707160949707,58.42235565185547,33.25689697265625,16.36913299560547,129.4225616455078,,84.49507904052734
2010-08-04,11.972538948059082,58.86607360839844,33.5808219909668,16.495502471923828,132.0166473388672,,85.05978393554688
2010-08-05,12.01526927947998,59.161895751953125,33.724796295166016,16.54840087890625,132.32550048828125,,84.9694595336914
2010-08-06,12.022391319274902,59.67953872680664,33.724796295166016,16.351497650146484,130.6269073486328,,84.62307739257812
2010-08-09,12.164836883544922,60.493019104003906,34.012733459472656,16.419092178344727,131.95481872558594,,85.07481384277344
2010-08-10,11.965414047241211,58.79210662841797,33.54481887817383,16.283912658691406,130.6269073486328,,84.61555480957031
2010-08-11,11.445489883422852,55.242401123046875,31.709224700927734,15.799006462097168,125.62421417236328,,82.29647827148438
2010-08-12,11.417000770568848,56.055885314941406,31.56525993347168,15.704963684082031,124.14193725585938,,81.79198455810547
2010-08-13,11.388511657714844,55.46426773071289,31.13334846496582,15.67851448059082,124.23453521728516,,81.55110168457031
2010-08-16,11.409875869750977,55.83403015136719,31.56525993347168,15.675565719604492,123.43168640136719,,81.51344299316406
2010-08-17,11.616421699523926,56.4256477355957,32.105140686035156,15.937127113342285,125.50069427490234,,82.51483154296875
2010-08-18,11.48822021484375,57.165164947509766,32.32109069824219,15.784309387207031,124.48165893554688,,82.66541290283203
2010-08-19,11.281678199768066,55.16845703125,31.24132537841797,15.528635025024414,122.65963745117188,,81.2273178100586
2010-08-20,11.103621482849121,54.65079116821289,30.989377975463867,15.337618827819824,120.77593231201172,,80.9637451171875
2010-08-23,11.110743522644043,53.91127014160156,30.77342414855957,15.343488693237305,121.0538558959961,,80.6550521850586
2010-08-24,10.875709533691406,51.98850631713867,30.089590072631836,15.105441093444824,118.3671646118164,,79.45791625976562
2010-08-25,10.882829666137695,52.136409759521484,30.41349983215332,15.058427810668945,117.44074249267578,,79.7666015625
2010-08-26,10.92556381225586,51.84059524536133,30.269548416137695,14.923246383666992,117.5025405883789,,79.23204040527344
2010-08-27,11.21757698059082,53.91127014160156,31.20534324645996,15.311164855957031,120.80677032470703,,80.45932006835938
2010-08-30,11.00390625,52.949886322021484,30.701452255249023,15.087812423706055,119.8803482055664,,79.29227447509766
2010-08-31,11.060885429382324,53.91127014160156,30.809436798095703,15.046671867370605,118.95393371582031,,79.29227447509766
2010-09-01,11.417000770568848,55.90797424316406,31.88920021057129,15.607978820800781,122.96845245361328,,81.66402435302734
2010-09-02,11.566568374633789,57.165164947509766,32.39308547973633,15.737283706665039,124.29634094238281,,82.42453002929688
